date,fire_count_total,year,month,day,season_day
2020-10-01,327,2020,10,1,1
2020-10-02,328,2020,10,2,2
2020-10-03,210,2020,10,3,3
2020-10-04,381,2020,10,4,4
2020-10-05,310,2020,10,5,5
2020-10-06,454,2020,10,6,6
2020-10-07,413,2020,10,7,7
2020-10-08,306,2020,10,8,8
2020-10-09,281,2020,10,9,9
2020-10-10,511,2020,10,10,10
2020-10-11,892,2020,10,11,11
2020-10-12,679,2020,10,12,12
2020-10-13,469,2020,10,13,13
2020-10-14,717,2020,10,14,14
2020-10-15,854,2020,10,15,15
2020-10-16,1090,2020,10,16,16
2020-10-17,1667,2020,10,17,17
2020-10-18,1364,2020,10,18,18
2020-10-19,885,2020,10,19,19
2020-10-20,1300,2020,10,20,20
2020-10-21,1400,2020,10,21,21
2020-10-22,1907,2020,10,22,22
2020-10-23,1377,2020,10,23,23
2020-10-24,1019,2020,10,24,24
2020-10-25,1774,2020,10,25,25
2020-10-26,2001,2020,10,26,26
2020-10-27,2881,2020,10,27,27
2020-10-28,2872,2020,10,28,28
2020-10-29,1735,2020,10,29,29
2020-10-30,3539,2020,10,30,30
2020-10-31,4087,2020,10,31,31
2020-11-01,3952,2020,11,1,32
2020-11-02,3911,2020,11,2,33
2020-11-03,2750,2020,11,3,34
2020-11-04,4201,2020,11,4,35
2020-11-05,5544,2020,11,5,36
2020-11-06,4671,2020,11,6,37
2020-11-07,5904,2020,11,7,38
2020-11-08,3791,2020,11,8,39
2020-11-09,1690,2020,11,9,40
2020-11-10,3800,2020,11,10,41
2020-11-11,2863,2020,11,11,42
2020-11-12,2349,2020,11,12,43
2020-11-13,2256,2020,11,13,44
2020-11-14,463,2020,11,14,45
2020-11-15,142,2020,11,15,46
2020-11-16,40,2020,11,16,47
2020-11-17,375,2020,11,17,48
2020-11-18,863,2020,11,18,49
2020-11-19,584,2020,11,19,50
2020-11-20,812,2020,11,20,51
2020-11-21,902,2020,11,21,52
2020-11-22,59,2020,11,22,53
2020-11-23,194,2020,11,23,54
2020-11-24,53,2020,11,24,55
2020-11-25,3,2020,11,25,56
2020-11-26,64,2020,11,26,57
2020-11-27,230,2020,11,27,58
2020-11-28,345,2020,11,28,59
2020-11-29,240,2020,11,29,60
2020-11-30,129,2020,11,30,61
2021-10-01,34,2021,10,1,1
2021-10-02,24,2021,10,2,2
2021-10-03,117,2021,10,3,3
2021-10-04,82,2021,10,4,4
2021-10-05,59,2021,10,5,5
2021-10-06,74,2021,10,6,6
2021-10-07,198,2021,10,7,7
2021-10-08,236,2021,10,8,8
2021-10-09,472,2021,10,9,9
2021-10-10,560,2021,10,10,10
2021-10-11,273,2021,10,11,11
2021-10-12,281,2021,10,12,12
2021-10-13,506,2021,10,13,13
2021-10-14,945,2021,10,14,14
2021-10-15,1756,2021,10,15,15
2021-10-16,1087,2021,10,16,16
2021-10-17,68,2021,10,17,17
2021-10-18,131,2021,10,18,18
2021-10-19,947,2021,10,19,19
2021-10-20,1738,2021,10,20,20
2021-10-21,1363,2021,10,21,21
2021-10-22,1433,2021,10,22,22
2021-10-23,860,2021,10,23,23
2021-10-24,76,2021,10,24,24
2021-10-25,458,2021,10,25,25
2021-10-26,733,2021,10,26,26
2021-10-27,572,2021,10,27,27
2021-10-28,1388,2021,10,28,28
2021-10-29,1705,2021,10,29,29
2021-10-30,2518,2021,10,30,30
2021-10-31,3714,2021,10,31,31
2021-11-01,2724,2021,11,1,32
2021-11-02,3073,2021,11,2,33
2021-11-03,3228,2021,11,3,34
2021-11-04,4168,2021,11,4,35
2021-11-05,7124,2021,11,5,36
2021-11-06,4988,2021,11,6,37
2021-11-07,5454,2021,11,7,38
2021-11-08,5857,2021,11,8,39
2021-11-09,5304,2021,11,9,40
2021-11-10,6329,2021,11,10,41
2021-11-11,4989,2021,11,11,42
2021-11-12,4153,2021,11,12,43
2021-11-13,4926,2021,11,13,44
2021-11-14,3091,2021,11,14,45
2021-11-15,2848,2021,11,15,46
2021-11-16,2396,2021,11,16,47
2021-11-17,1014,2021,11,17,48
2021-11-18,956,2021,11,18,49
2021-11-19,875,2021,11,19,50
2021-11-20,745,2021,11,20,51
2021-11-21,909,2021,11,21,52
2021-11-22,409,2021,11,22,53
2021-11-23,247,2021,11,23,54
2021-11-24,208,2021,11,24,55
2021-11-25,184,2021,11,25,56
2021-11-26,217,2021,11,26,57
2021-11-27,219,2021,11,27,58
2021-11-28,95,2021,11,28,59
2021-11-29,96,2021,11,29,60
2021-11-30,89,2021,11,30,61
2022-10-01,150,2022,10,1,1
2022-10-02,225,2022,10,2,2
2022-10-03,112,2022,10,3,3
2022-10-04,155,2022,10,4,4
2022-10-05,207,2022,10,5,5
2022-10-06,275,2022,10,6,6
2022-10-07,208,2022,10,7,7
2022-10-08,75,2022,10,8,8
2022-10-09,25,2022,10,9,9
2022-10-10,21,2022,10,10,10
2022-10-11,82,2022,10,11,11
2022-10-12,208,2022,10,12,12
2022-10-13,208,2022,10,13,13
2022-10-14,149,2022,10,14,14
2022-10-15,290,2022,10,15,15
2022-10-16,435,2022,10,16,16
2022-10-17,620,2022,10,17,17
2022-10-18,708,2022,10,18,18
2022-10-19,434,2022,10,19,19
2022-10-20,250,2022,10,20,20
2022-10-21,479,2022,10,21,21
2022-10-22,950,2022,10,22,22
2022-10-23,1582,2022,10,23,23
2022-10-24,1423,2022,10,24,24
2022-10-25,1037,2022,10,25,25
2022-10-26,1176,2022,10,26,26
2022-10-27,1477,2022,10,27,27
2022-10-28,2345,2022,10,28,28
2022-10-29,2416,2022,10,29,29
2022-10-30,1828,2022,10,30,30
2022-10-31,2001,2022,10,31,31
2022-11-01,2203,2022,11,1,32
2022-11-02,3251,2022,11,2,33
2022-11-03,3213,2022,11,3,34
2022-11-04,1809,2022,11,4,35
2022-11-05,3182,2022,11,5,36
2022-11-06,639,2022,11,6,37
2022-11-07,2515,2022,11,7,38
2022-11-08,859,2022,11,8,39
2022-11-09,1333,2022,11,9,40
2022-11-10,2187,2022,11,10,41
2022-11-11,3468,2022,11,11,42
2022-11-12,2868,2022,11,12,43
2022-11-13,2511,2022,11,13,44
2022-11-14,36,2022,11,14,45
2022-11-15,188,2022,11,15,46
2022-11-16,1145,2022,11,16,47
2022-11-17,1302,2022,11,17,48
