date,year,month,day,season_day,punjab_fires,haryana_fires,delhi_fires,other_fires,total_fires
2020-10-01,2020,10,1,1,171,32,1,123,327
2020-10-02,2020,10,2,2,146,36,1,145,328
2020-10-03,2020,10,3,3,97,13,1,99,210
2020-10-04,2020,10,4,4,198,53,1,129,381
2020-10-05,2020,10,5,5,151,26,1,132,310
2020-10-06,2020,10,6,6,189,57,2,206,454
2020-10-07,2020,10,7,7,183,68,3,159,413
2020-10-08,2020,10,8,8,112,48,1,145,306
2020-10-09,2020,10,9,9,127,34,0,120,281
2020-10-10,2020,10,10,10,238,72,1,200,511
2020-10-11,2020,10,11,11,442,150,1,299,892
2020-10-12,2020,10,12,12,339,111,2,227,679
2020-10-13,2020,10,13,13,270,67,0,132,469
2020-10-14,2020,10,14,14,496,59,0,162,717
2020-10-15,2020,10,15,15,556,157,1,140,854
2020-10-16,2020,10,16,16,663,114,2,311,1090
2020-10-17,2020,10,17,17,1116,215,1,335,1667
2020-10-18,2020,10,18,18,919,222,0,223,1364
2020-10-19,2020,10,19,19,698,52,0,135,885
2020-10-20,2020,10,20,20,1024,107,0,169,1300
2020-10-21,2020,10,21,21,1123,123,4,150,1400
2020-10-22,2020,10,22,22,1543,167,4,193,1907
2020-10-23,2020,10,23,23,1121,138,4,114,1377
2020-10-24,2020,10,24,24,821,89,5,104,1019
2020-10-25,2020,10,25,25,1464,194,0,116,1774
2020-10-26,2020,10,26,26,1705,91,1,204,2001
2020-10-27,2020,10,27,27,2494,148,2,237,2881
2020-10-28,2020,10,28,28,2505,181,0,186,2872
2020-10-29,2020,10,29,29,1572,91,0,72,1735
2020-10-30,2020,10,30,30,3321,128,0,90,3539
2020-10-31,2020,10,31,31,3740,181,1,165,4087
2020-11-01,2020,11,1,32,3514,186,2,250,3952
2020-11-02,2020,11,2,33,3570,139,4,198,3911
2020-11-03,2020,11,3,34,2438,135,0,177,2750
2020-11-04,2020,11,4,35,3948,85,1,167,4201
2020-11-05,2020,11,5,36,5234,130,0,180,5544
2020-11-06,2020,11,6,37,4238,160,1,272,4671
2020-11-07,2020,11,7,38,5162,236,1,505,5904
2020-11-08,2020,11,8,39,3346,154,1,290,3791
2020-11-09,2020,11,9,40,1519,27,1,143,1690
2020-11-10,2020,11,10,41,3473,154,0,173,3800
2020-11-11,2020,11,11,42,2458,129,0,276,2863
2020-11-12,2020,11,12,43,1868,125,1,355,2349
2020-11-13,2020,11,13,44,1769,125,2,360,2256
2020-11-14,2020,11,14,45,358,55,3,47,463
2020-11-15,2020,11,15,46,68,42,0,32,142
2020-11-16,2020,11,16,47,15,4,1,20,40
2020-11-17,2020,11,17,48,266,20,2,87,375
2020-11-18,2020,11,18,49,639,78,0,146,863
2020-11-19,2020,11,19,50,441,45,0,98,584
2020-11-20,2020,11,20,51,552,62,0,198,812
2020-11-21,2020,11,21,52,559,107,0,236,902
2020-11-22,2020,11,22,53,24,14,1,20,59
2020-11-23,2020,11,23,54,47,63,1,83,194
2020-11-24,2020,11,24,55,9,19,0,25,53
2020-11-25,2020,11,25,56,0,0,0,3,3
2020-11-26,2020,11,26,57,26,8,1,29,64
2020-11-27,2020,11,27,58,107,27,2,94,230
2020-11-28,2020,11,28,59,107,73,2,163,345
2020-11-29,2020,11,29,60,66,50,1,123,240
2020-11-30,2020,11,30,61,30,23,0,76,129
2021-10-01,2021,10,1,1,5,2,0,27,34
2021-10-02,2021,10,2,2,0,3,0,21,24
2021-10-03,2021,10,3,3,13,7,1,96,117
2021-10-04,2021,10,4,4,28,6,0,48,82
2021-10-05,2021,10,5,5,22,10,1,26,59
2021-10-06,2021,10,6,6,30,6,0,38,74
2021-10-07,2021,10,7,7,85,18,0,95,198
2021-10-08,2021,10,8,8,89,30,0,117,236
2021-10-09,2021,10,9,9,161,82,1,228,472
2021-10-10,2021,10,10,10,173,169,5,213,560
2021-10-11,2021,10,11,11,72,78,0,123,273
2021-10-12,2021,10,12,12,96,78,1,106,281
2021-10-13,2021,10,13,13,140,132,0,234,506
2021-10-14,2021,10,14,14,353,201,3,388,945
2021-10-15,2021,10,15,15,689,591,3,473,1756
2021-10-16,2021,10,16,16,512,296,0,279,1087
2021-10-17,2021,10,17,17,15,0,0,53,68
2021-10-18,2021,10,18,18,70,2,0,59,131
2021-10-19,2021,10,19,19,515,79,1,352,947
2021-10-20,2021,10,20,20,1034,241,1,462,1738
2021-10-21,2021,10,21,21,753,221,0,389,1363
2021-10-22,2021,10,22,22,912,156,4,361,1433
2021-10-23,2021,10,23,23,572,263,0,25,860
2021-10-24,2021,10,24,24,1,40,0,35,76
2021-10-25,2021,10,25,25,114,108,1,235,458
2021-10-26,2021,10,26,26,327,241,1,164,733
2021-10-27,2021,10,27,27,298,152,0,122,572
