date,pm25_delhi,pm10_delhi,no2_delhi,o3_delhi,co_delhi,records_per_day,year,month,day,season_day
2020-11-25,342.3017391304348,405.03782608695656,93.54913043478261,26.791304347826088,2971.5660869565218,23,2020,11,25,56
2020-11-26,180.7541666666667,226.00125,65.41875,20.753333333333334,2314.806666666667,24,2020,11,26,57
2020-11-27,115.90166666666666,143.95250000000001,56.221666666666664,43.925000000000004,1592.1595833333333,24,2020,11,27,58
2020-11-28,197.88916666666668,234.86125,70.04666666666667,50.3725,2461.1158333333333,24,2020,11,28,59
2020-11-29,329.38166666666666,404.0495833333334,93.94958333333334,34.69625,4516.680416666667,24,2020,11,29,60
2020-11-30,416.22499999999997,511.88625,105.43124999999999,34.78333333333333,5575.339166666668,24,2020,11,30,61
2021-10-01,299.65208333333334,357.14166666666665,98.59125,69.60291666666667,3938.6749999999997,24,2021,10,1,1
2021-10-02,121.45041666666667,151.05833333333334,49.309583333333336,59.463750000000005,1900.9120833333334,24,2021,10,2,2
2021-10-03,66.31,102.03875,37.36833333333333,37.95375,1465.3208333333332,24,2021,10,3,3
2021-10-04,312.68125000000003,419.87583333333333,62.018750000000004,29.99625,5781.452499999999,24,2021,10,4,4
2021-10-05,557.045,665.1225000000001,161.53916666666666,30.235,6459.315833333333,24,2021,10,5,5
2021-10-06,318.0154166666667,397.5116666666667,83.06875,65.1075,3697.236666666667,24,2021,10,6,6
2021-10-07,239.69500000000002,312.28000000000003,73.84333333333333,57.09625,3338.972916666667,24,2021,10,7,7
2021-10-08,268.4220833333333,355.15124999999995,75.20041666666667,53.67083333333334,4200.69625,24,2021,10,8,8
2021-10-09,209.65291666666667,303.87791666666664,64.73958333333333,45.64791666666667,3367.3433333333337,24,2021,10,9,9
2021-10-10,361.9708333333333,491.68249999999995,86.51708333333333,41.38666666666666,5948.901666666668,24,2021,10,10,10
2021-10-11,320.3979166666667,412.4575,103.04666666666667,43.413333333333334,5449.057083333333,24,2021,10,11,11
2021-10-12,247.92624999999998,348.52416666666664,74.88583333333334,51.88375,4138.390416666666,24,2021,10,12,12
2021-10-13,182.06375,252.46916666666667,55.81458333333333,74.38333333333334,1930.67375,24,2021,10,13,13
2021-10-14,146.06916666666666,196.54208333333335,54.336666666666666,74.3425,1730.1241666666665,24,2021,10,14,14
2021-10-15,202.75541666666666,268.55125000000004,76.07958333333333,59.6875,2828.28125,24,2021,10,15,15
