date,latitude,longitude,count,frp
2023-10-01,27.96,77.46,1,4.19
2023-10-01,27.96,77.70,3,11.52
2023-10-01,28.50,76.74,1,0.39
2023-10-01,28.74,77.58,3,24.39
2023-10-01,28.86,77.16,1,0.26
2023-10-01,29.04,76.92,2,5.02
2023-10-01,29.04,77.10,2,18.10
2023-10-01,29.40,76.02,1,9.10
2023-10-01,29.40,76.80,1,1.91
2023-10-01,29.46,76.20,1,2.62
2023-10-01,29.76,76.68,2,7.84
2023-10-01,29.94,74.04,1,2.27
2023-10-01,30.06,76.20,2,13.20
2023-10-01,30.06,76.92,1,3.52
2023-10-01,30.06,76.98,1,3.71
2023-10-01,30.06,77.04,1,6.92
2023-10-01,30.12,77.40,1,3.39
2023-10-01,30.18,76.26,2,11.21
2023-10-01,30.18,76.92,1,5.49
2023-10-01,30.24,76.92,1,2.98
2023-10-01,30.24,77.34,1,2.27
2023-10-01,30.36,76.20,1,4.70
2023-10-01,30.36,76.98,1,7.81
2023-10-01,30.42,77.22,1,3.97
2023-10-01,30.54,76.86,1,3.24
2023-10-01,30.54,76.92,1,5.33
2023-10-01,30.60,76.92,1,2.19
2023-10-01,30.72,74.22,1,5.89
2023-10-01,31.26,75.18,3,18.68
2023-10-01,31.32,75.18,1,4.10
2023-10-01,31.44,74.88,2,23.77
2023-10-01,31.44,75.18,1,3.63
2023-10-01,31.50,74.64,1,8.80
2023-10-01,31.50,75.06,1,4.04
2023-10-01,31.56,74.76,1,10.50
2023-10-01,31.56,74.82,7,54.57
2023-10-01,31.56,75.00,1,4.96
2023-10-01,31.56,75.06,1,7.09
2023-10-01,31.56,75.12,3,21.10
2023-10-01,31.56,75.18,1,6.56
2023-10-01,31.62,75.00,3,16.79
2023-10-01,31.62,75.18,7,30.81
2023-10-01,31.62,75.24,3,12.53
2023-10-01,31.68,74.94,1,2.07
2023-10-01,31.68,75.00,3,9.77
2023-10-01,31.68,75.06,1,2.40
2023-10-01,31.68,75.12,4,16.88
2023-10-01,31.68,75.18,1,2.52
2023-10-01,31.74,74.88,1,2.81
2023-10-01,31.74,74.94,4,29.56
2023-10-01,31.74,75.00,4,23.54
2023-10-01,31.74,75.06,2,8.75
2023-10-01,31.74,75.12,3,14.65
2023-10-01,31.74,75.18,1,4.29
2023-10-01,31.80,74.82,1,8.76
2023-10-01,31.80,74.94,2,11.73
2023-10-01,31.80,75.00,3,9.67
2023-10-01,31.80,75.06,2,7.01
2023-10-01,31.86,74.70,1,5.04
2023-10-02,27.84,78.18,2,2.75
2023-10-02,27.90,77.46,2,17.89
2023-10-02,27.96,77.58,1,3.97
2023-10-02,27.96,77.70,2,10.16
2023-10-02,28.38,75.54,1,3.77
2023-10-02,28.68,75.90,1,1.87
2023-10-02,28.74,76.92,1,1.81
2023-10-02,28.98,76.68,1,5.91
2023-10-02,29.46,76.02,1,5.02
2023-10-02,29.52,75.54,1,5.26
2023-10-02,29.52,75.60,2,10.98
2023-10-02,29.52,77.16,1,2.83
2023-10-02,29.70,76.32,1,6.67
2023-10-02,29.76,75.90,1,2.54
2023-10-02,29.88,74.94,2,10.35
2023-10-02,29.88,76.56,2,4.55
2023-10-02,29.94,76.98,2,4.95
2023-10-02,30.00,76.98,2,10.88
2023-10-02,30.06,76.68,1,4.62
2023-10-02,30.12,76.26,1,2.47
2023-10-02,30.12,76.74,1,2.31
2023-10-02,30.18,76.98,1,3.11
2023-10-02,30.24,75.60,1,6.74
2023-10-02,30.24,76.26,2,9.28
2023-10-02,30.24,76.92,3,11.92
2023-10-02,30.24,77.10,2,8.16
2023-10-02,30.24,77.22,2,5.62
2023-10-02,30.30,77.10,2,6.80
2023-10-02,30.36,77.10,1,4.52
2023-10-02,30.42,74.76,1,4.43
2023-10-02,30.42,76.38,1,3.20
2023-10-02,30.42,77.16,2,6.79
2023-10-02,30.48,76.68,2,8.65
2023-10-02,30.48,76.92,4,14.32
2023-10-02,30.54,76.74,1,2.81
2023-10-02,30.54,77.22,1,0.32
2023-10-02,30.60,76.80,2,8.75
2023-10-02,30.60,76.92,2,8.10
2023-10-02,30.72,76.38,3,13.61
2023-10-02,30.90,76.26,1,4.45
2023-10-02,30.96,74.58,1,2.55
2023-10-02,31.02,74.88,1,5.23
2023-10-02,31.20,75.18,1,8.00
2023-10-02,31.20,75.42,1,2.81
2023-10-02,31.26,75.12,8,45.91
2023-10-02,31.32,74.82,1,2.75
2023-10-02,31.38,74.88,1,4.22
2023-10-02,31.38,75.06,1,3.43
2023-10-02,31.38,75.12,1,2.39
2023-10-02,31.38,75.24,2,8.44
2023-10-02,31.44,75.06,1,3.70
2023-10-02,31.44,75.18,1,3.46
2023-10-02,31.44,75.54,2,5.42
