latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
31.35111,77.981,325.88,0.73,0.76,2021-11-25,649,N,VIIRS,n,2,282.78,9.36,D,0,2021-11-25,5,VIIRS_SNPP_SP
27.83408,77.49142,344.55,0.52,0.5,2021-11-25,828,N,VIIRS,n,2,302.94,5.92,D,0,2021-11-25,5,VIIRS_SNPP_SP
27.89173,75.92696,341.57,0.42,0.45,2021-11-25,828,N,VIIRS,n,2,303.49,3.01,D,0,2021-11-25,5,VIIRS_SNPP_SP
27.89184,75.9265,337.39,0.42,0.45,2021-11-25,828,N,VIIRS,n,2,303.48,3.28,D,0,2021-11-25,5,VIIRS_SNPP_SP
28.84583,77.76249,337.27,0.56,0.51,2021-11-25,828,N,VIIRS,n,2,295.74,8.14,D,0,2021-11-25,5,VIIRS_SNPP_SP
28.90565,76.91826,330.75,0.5,0.49,2021-11-25,828,N,VIIRS,n,2,297.88,3.83,D,0,2021-11-25,5,VIIRS_SNPP_SP
28.9174,76.36602,342.36,0.46,0.47,2021-11-25,828,N,VIIRS,n,2,301.97,8.51,D,0,2021-11-25,5,VIIRS_SNPP_SP
28.96172,76.7281,340.2,0.49,0.48,2021-11-25,828,N,VIIRS,n,2,298.83,2.89,D,0,2021-11-25,5,VIIRS_SNPP_SP
28.99097,75.91173,347.28,0.44,0.46,2021-11-25,828,N,VIIRS,n,2,301.18,7.82,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.01984,76.23981,340.62,0.45,0.47,2021-11-25,828,N,VIIRS,n,2,299.49,3.23,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.03537,76.44142,339.83,0.47,0.48,2021-11-25,828,N,VIIRS,n,2,297.44,2.75,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.05272,76.21647,331.78,0.45,0.47,2021-11-25,828,N,VIIRS,n,2,300.08,2.34,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.06282,76.4036,330.75,0.47,0.47,2021-11-25,828,N,VIIRS,n,2,297.5,2.43,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.09991,76.01861,330.08,0.44,0.46,2021-11-25,828,N,VIIRS,n,2,300.62,2.26,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.11635,76.13852,346.51,0.45,0.47,2021-11-25,828,N,VIIRS,n,2,301.27,7.33,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.14064,76.29327,331.98,0.46,0.47,2021-11-25,828,N,VIIRS,n,2,300.7,2.12,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.15075,77.78668,341.62,0.56,0.52,2021-11-25,828,N,VIIRS,n,2,295.75,5.29,D,0,2021-11-25,5,VIIRS_SNPP_SP
29.15181,77.78775,340.33,0.56,0.52,2021-11-25,828,N,VIIRS,n,2,295.02,7.16,D,0,2021-11-25,5,VIIRS_SNPP_SP
