latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
27.70659,77.43012,333.43,0.5,0.41,2023-11-05,814,N,VIIRS,n,2,299.97,4.85,D,0
28.22909,77.96635,333.08,0.54,0.42,2023-11-05,814,N,VIIRS,n,2,301.1,3.59,D,0
28.74662,77.74435,331.91,0.53,0.42,2023-11-05,814,N,VIIRS,n,2,298.26,2.08,D,0
28.90203,76.3619,334.63,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,301.36,2.79,D,0
28.91393,76.48696,330.81,0.47,0.4,2023-11-05,815,N,VIIRS,n,2,303.27,2.32,D,0
28.93041,76.38163,338.76,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,300.95,5.66,D,0
28.97295,76.33749,335.65,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.5,4.71,D,0
28.98611,76.38401,333.2,0.46,0.39,2023-11-05,815,N,VIIRS,l,2,303.63,4.36,D,0
28.99033,76.38821,331.53,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,300.38,4.36,D,0
29.00004,76.3769,334.33,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.05,3.45,D,0
29.00153,76.50916,333.1,0.47,0.4,2023-11-05,815,N,VIIRS,n,2,302.29,3.15,D,0
29.00212,76.51401,336.39,0.47,0.4,2023-11-05,815,N,VIIRS,n,2,301.27,3.15,D,0
29.03174,76.63366,330.91,0.48,0.4,2023-11-05,815,N,VIIRS,n,2,301.61,2.52,D,0
29.03541,76.63308,330.88,0.48,0.4,2023-11-05,815,N,VIIRS,n,2,300.31,2.52,D,0
29.05373,76.06304,332.76,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,302.9,2.51,D,0
29.09333,76.32076,331.97,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.14,2.19,D,0
29.23268,75.77807,334.54,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.13,2.61,D,0
29.23624,73.50847,342.91,0.39,0.36,2023-11-05,815,N,VIIRS,n,2,302.19,6.18,D,0
29.24037,76.13902,346.32,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.26,6.07,D,0
29.24459,76.172,333.68,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.56,4.59,D,0
29.26637,75.75849,346.45,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,304.33,15.05,D,0
29.27698,78.05534,334.24,0.56,0.43,2023-11-05,815,N,VIIRS,n,2,298.89,4.75,D,0
29.28727,76.15243,330.05,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,300.37,2.51,D,0
29.30597,73.65943,343.57,0.39,0.36,2023-11-05,815,N,VIIRS,n,2,302.92,4.93,D,0
